
############################################################
#              TABLE 1: DOC COUNT PER TOPIC             #
############################################################

     Topic  |       Count  |     Percent
----------------------------------------
  15 | iland           |   0.003630 |      0.36%
  16 | seene           |   0.003586 |      0.36%
  17 | indians         |   0.003524 |      0.35%
  18 | prouince        |   0.003388 |      0.34%
  19 | betweene        |   0.003358 |      0.34%
  20 | townes          |   0.003197 |      0.32%

######## Topic 22 ########
Documents: 7 (0.95%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | 18              |   0.021076 |      2.11%
   2 | 13              |   0.020525 |      2.05%
   3 | 14              |   0.019883 |      1.99%
   4 | 16              |   0.019804 |      1.98%
   5 | 15              |   0.019245 |      1.92%
   6 | 20              |   0.018774 |      1.88%
   7 | 19              |   0.017354 |      1.74%
   8 | 17              |   0.016843 |      1.68%
   9 | 22              |   0.016483 |      1.65%
  10 | 23              |   0.015807 |      1.58%
  11 | 24              |   0.013700 |      1.37%
  12 | 21              |   0.013454 |      1.35%
  13 | 27              |   0.012526 |      1.25%
  14 | 25              |   0.010991 |      1.10%
  15 | 28              |   0.010842 |      1.08%
  16 | 12              |   0.010345 |      1.03%
  17 | 10              |   0.009847 |      0.98%
  18 | 26              |   0.009773 |      0.98%
  19 | 32              |   0.008600 |      0.86%
  20 | 30              |   0.008361 |      0.84%

######## Topic 23 ########
Documents: 23 (3.11%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | maiestie        |   0.029072 |      2.91%
   2 | maiesties       |   0.024258 |      2.43%
   3 | haue            |   0.024107 |      2.41%
   4 | subiects        |   0.019972 |      2.00%
   5 | bee             |   0.013979 |      1.40%
   6 | vpon            |   0.012299 |      1.23%
   7 | realme          |   0.012230 |      1.22%
   8 | sayd            |   0.010915 |      1.09%
   9 | vnto            |   0.010174 |      1.02%
  10 | spaine          |   0.009544 |      0.95%
  11 | owne            |   0.008732 |      0.87%
  12 | giuen           |   0.008362 |      0.84%
  13 | doe             |   0.007734 |      0.77%
  14 | whatsoeuer      |   0.007115 |      0.71%
  15 | queene          |   0.006943 |      0.69%
  16 | queenes         |   0.006635 |      0.66%
  17 | warre           |   0.006415 |      0.64%
  18 | corne           |   0.006034 |      0.60%
  19 | euery           |   0.005929 |      0.59%
  20 | proclamation    |   0.005754 |      0.58%

######## Topic 24 ########
Documents: 8 (1.08%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | iohn            |   0.021736 |      2.17%
   2 | maister         |   0.020946 |      2.09%
   3 | yeere           |   0.015832 |      1.58%
   4 | kingdome        |   0.014350 |      1.44%
   5 | realme          |   0.013658 |      1.37%
   6 | aswell          |   0.012328 |      1.23%
   7 | sonne           |   0.012078 |      1.21%
   8 | ordinance       |   0.011814 |      1.18%
   9 | thrée           |   0.009733 |      0.97%
  10 | subiects        |   0.009416 |      0.94%
  11 | scotland        |   0.009149 |      0.91%
  12 | wales           |   0.008903 |      0.89%
  13 | robert          |   0.008732 |      0.87%
  14 | saide           |   0.008034 |      0.80%
  15 | james           |   0.007249 |      0.72%
  16 | parliament      |   0.007041 |      0.70%
  17 | wee             |   0.006844 |      0.68%
  18 | reigne          |   0.006591 |      0.66%
  19 | merchandize     |   0.006216 |      0.62%
  20 | lawes           |   0.006069 |      0.61%

######## Topic 25 ########
Documents: 26 (3.52%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | theyr           |   0.031961 |      3.20%
   2 | wyth            |   0.029549 |      2.95%
   3 | whiche          |   0.024689 |      2.47%
   4 | hys             |   0.019091 |      1.91%
   5 | tyme            |   0.014899 |      1.49%
   6 | kyng            |   0.014842 |      1.48%
   7 | dyd             |   0.014163 |      1.42%
   8 | sayde           |   0.014057 |      1.41%
   9 | haue            |   0.013021 |      1.30%
  10 | suche           |   0.012563 |      1.26%
  11 | greate          |   0.011489 |      1.15%
  12 | hym             |   0.010853 |      1.09%
  13 | thys            |   0.010779 |      1.08%
  14 | doo             |   0.010433 |      1.04%
  15 | moste           |   0.009768 |      0.98%
