
############################################################
#              TABLE 1: DOC COUNT PER TOPIC             #
############################################################

     Topic  |       Count  |     Percent
----------------------------------------
   5 | james           |   0.007975

######## Topic 2 ########
Documents: 25 (3.38%)
Rank |    DocID | Filename                                                     |   Length |       P_dz
------------------------------------------------------------------------------------------------------
   1 |       61 | Navigations_headed_xml/Parsed_texts/A48344_parsed_text.txt   |   273482 |   0.901718
   2 |      385 | Navigations_headed_xml/Parsed_texts/A33988_parsed_text.txt   |   227259 |   0.853404
   3 |      137 | Navigations_headed_xml/Parsed_texts/A48339_parsed_text.txt   |   291278 |   0.821361
   4 |      683 | Navigations_headed_xml/Parsed_texts/A51536_parsed_text.txt   |    13947 |   0.818568
   5 |      356 | Navigations_headed_xml/Parsed_texts/A52487_parsed_text.txt   |   314569 |   0.791700

Rank | Word            |      Value
-----------------------------------
   1 | deg             |   0.010575
   2 | degr            |   0.010069
   3 | us              |   0.009986
   4 | admiral         |   0.008814
   5 | min             |   0.008008

######## Topic 3 ########
Documents: 18 (2.44%)
Rank |    DocID | Filename                                                     |   Length |       P_dz
------------------------------------------------------------------------------------------------------
   1 |      538 | Navigations_headed_xml/Parsed_texts/A55157_parsed_text.txt   |     4958 |   1.000000
   2 |      688 | Navigations_headed_xml/Parsed_texts/A45059_parsed_text.txt   |     6417 |   0.999988
   3 |      515 | Navigations_headed_xml/Parsed_texts/A46323_parsed_text.txt   |     8660 |   0.999985
   4 |      111 | Navigations_headed_xml/Parsed_texts/A37757_parsed_text.txt   |     6336 |   0.968952
   5 |      328 | Navigations_headed_xml/Parsed_texts/A32135_parsed_text.txt   |     9264 |   0.922638

Rank | Word            |      Value
-----------------------------------
   1 | turks           |   0.017684
   2 | vienna          |   0.016025
   3 | parliament      |   0.015524
   4 | hungary         |   0.011771
   5 | vizier          |   0.010647

######## Topic 4 ########
Documents: 31 (4.19%)
Rank |    DocID | Filename                                                     |   Length |       P_dz
------------------------------------------------------------------------------------------------------
   1 |      279 | Navigations_headed_xml/Parsed_texts/A32493_parsed_text.txt   |     5540 |   1.000000
   2 |      339 | Navigations_headed_xml/Parsed_texts/A32649_parsed_text.txt   |     5899 |   1.000000
   3 |      325 | Navigations_headed_xml/Parsed_texts/A32650_parsed_text.txt   |     5092 |   1.000000
   4 |      501 | Navigations_headed_xml/Parsed_texts/A32381_parsed_text.txt   |     6459 |   0.999999
   5 |      552 | Navigations_headed_xml/Parsed_texts/A39438_parsed_text.txt   |     8982 |   0.999981

Rank | Word            |      Value
-----------------------------------
   1 | majesty         |   0.014788
   2 | majesties       |   0.014402
   3 | subjects        |   0.012337
   4 | whatsoever      |   0.007506
   5 | britain         |   0.007087

######## Topic 5 ########
Documents: 32 (4.33%)
Rank |    DocID | Filename                                                     |   Length |       P_dz
------------------------------------------------------------------------------------------------------
   1 |       83 | Navigations_headed_xml/Parsed_texts/A20377_parsed_text.txt   |    35003 |   0.822417
   2 |       74 | Navigations_headed_xml/Parsed_texts/A14325_parsed_text.txt   |    50419 |   0.762876
   3 |      294 | Navigations_headed_xml/Parsed_texts/A08479_parsed_text.txt   |    40480 |   0.749865
   4 |      263 | Navigations_headed_xml/Parsed_texts/A08874_parsed_text.txt   |   242049 |   0.656280
   5 |      132 | Navigations_headed_xml/Parsed_texts/A22364_parsed_text.txt   |     9685 |   0.582935

Rank | Word            |      Value
-----------------------------------
   1 | haue            |   0.021561
   2 | bee             |   0.010864
   3 | vs              |   0.009670
   4 | your            |   0.007634
   5 | vnto            |   0.007625

######## Topic 6 ########
Documents: 57 (7.71%)
Rank |    DocID | Filename                                                     |   Length |       P_dz
------------------------------------------------------------------------------------------------------
   1 |      396 | Navigations_headed_xml/Parsed_texts/A34277_parsed_text.txt   |     6701 |   1.000000
   2 |       70 | Navigations_headed_xml/Parsed_texts/A50181_parsed_text.txt   |    41050 |   0.989831
   3 |      626 | Navigations_headed_xml/Parsed_texts/A48111_parsed_text.txt   |     9859 |   0.988831
   4 |      456 | Navigations_headed_xml/Parsed_texts/A25200_parsed_text.txt   |    43370 |   0.968022
   5 |      630 | Navigations_headed_xml/Parsed_texts/A43912_parsed_text.txt   |    33641 |   0.916956

Rank | Word            |      Value
-----------------------------------
   1 | have            |   0.007743
   2 | you             |   0.007507
   3 | love            |   0.005797
   4 | your            |   0.005576
   5 | my              |   0.005273

######## Topic 7 ########
Documents: 8 (1.08%)
Rank |    DocID | Filename                                                     |   Length |       P_dz
------------------------------------------------------------------------------------------------------
   1 |      479 | Navigations_headed_xml/Parsed_texts/A36049_parsed_text.txt   |   161732 |   1.000000
   2 |      541 | Navigations_headed_xml/Parsed_texts/A53241_parsed_text.txt   |   114777 |   1.000000
   3 |      448 | Navigations_headed_xml/Parsed_texts/A53234_parsed_text.txt   |    96208 |   1.000000
   4 |      359 | Navigations_headed_xml/Parsed_texts/A28785_parsed_text.txt   |   543195 |   0.998432
   5 |      222 | Navigations_headed_xml/Parsed_texts/A55497_parsed_text.txt   |   132987 |   0.982061

Rank | Word            |      Value
-----------------------------------
   1 | bridg           |   0.017176
   2 | 15              |   0.015788
   3 | 18              |   0.015776
   4 | 52              |   0.015741
   5 | furlongs        |   0.015244

######## Topic 8 ########
Documents: 92 (12.45%)
Rank |    DocID | Filename                                                     |   Length |       P_dz
------------------------------------------------------------------------------------------------------
