######## Topic 0 ########
Average row value: 0.000010
Rank | Word            |      Value | Pct of Row
  43 | knights         |   0.000539 |      0.05%
  44 | cal             |   0.000538 |      0.05%
  45 | thereto         |   0.000538 |      0.05%
  46 | yearly          |   0.000534 |      0.05%
  47 | ob              |   0.000533 |      0.05%
  48 | charter         |   0.000530 |      0.05%
  49 | domini          |   0.000529 |      0.05%
  50 | specified       |   0.000515 |      0.05%

Excluded Words:
de, as, said, but, had, be, iohn, is, one, have


######## Topic 13 ########
Average row value: 0.000010
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | text            |   0.002127 |      0.21%
   2 | tcp             |   0.001415 |      0.14%
   3 | matter          |   0.001112 |      0.11%
   4 | xml             |   0.000945 |      0.09%
   5 | images          |   0.000943 |      0.09%
   6 | does            |   0.000886 |      0.09%
   7 | page            |   0.000837 |      0.08%
   8 | creation        |   0.000797 |      0.08%
   9 | natural         |   0.000774 |      0.08%
  10 | particular      |   0.000770 |      0.08%
  11 | whether         |   0.000757 |      0.08%
  12 | neither         |   0.000744 |      0.07%
  13 | partnership     |   0.000712 |      0.07%
  14 | http            |   0.000710 |      0.07%
  15 | tei             |   0.000709 |      0.07%
  16 | org             |   0.000708 |      0.07%
  17 | markup          |   0.000696 |      0.07%
  18 | answer          |   0.000672 |      0.07%
  19 | soul            |   0.000663 |      0.07%
  20 | mr              |   0.000631 |      0.06%
  21 | interest        |   0.000622 |      0.06%
  22 | believe         |   0.000612 |      0.06%
  23 | appear          |   0.000609 |      0.06%
  24 | scots           |   0.000600 |      0.06%
  25 | truth           |   0.000586 |      0.06%
  26 | love            |   0.000577 |      0.06%
  27 | motion          |   0.000576 |      0.06%
  28 | able            |   0.000573 |      0.06%
  29 | sense           |   0.000567 |      0.06%
  30 | characters      |   0.000561 |      0.06%
  31 | represented     |   0.000555 |      0.06%
  32 | india           |   0.000549 |      0.05%
  33 | actions         |   0.000546 |      0.05%
  34 | council         |   0.000544 |      0.05%
  35 | least           |   0.000537 |      0.05%

Excluded Words:
be, as, is, have, not, but, or, so, are, from


######## Topic 14 ########
Average row value: 0.000010
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | sonne           |   0.002503 |      0.25%
   2 | towne           |   0.002234 |      0.22%
   3 | certaine        |   0.001712 |      0.17%
   4 | himselfe        |   0.001652 |      0.17%
   5 | citie           |   0.001551 |      0.16%
   6 | bee             |   0.001417 |      0.14%
   7 | owne            |   0.001414 |      0.14%
   8 | selfe           |   0.001336 |      0.13%
   9 | neere           |   0.001313 |      0.13%
  10 | foure           |   0.001284 |      0.13%
  11 | farre           |   0.001271 |      0.13%
  12 | yeere           |   0.001249 |      0.12%
  13 | beene           |   0.001201 |      0.12%
  14 | riuer           |   0.001159 |      0.12%
  15 | kingdome        |   0.001135 |      0.11%
  16 | vp              |   0.001129 |      0.11%
  17 | themselues      |   0.001090 |      0.11%
  18 | heere           |   0.001077 |      0.11%
  19 | booke           |   0.001064 |      0.11%
  20 | ouer            |   0.001024 |      0.10%
  21 | yeeres          |   0.001015 |      0.10%
  22 | yeare           |   0.001009 |      0.10%
  23 | downe           |   0.000996 |      0.10%
  24 | euery           |   0.000960 |      0.10%
  25 | vnder           |   0.000930 |      0.09%
  26 | againe          |   0.000925 |      0.09%
  27 | earle           |   0.000875 |      0.09%
  28 | yeares          |   0.000836 |      0.08%
  29 | slaine          |   0.000826 |      0.08%
  30 | fiue            |   0.000788 |      0.08%
  31 | chiefe          |   0.000744 |      0.07%
  32 | betweene        |   0.000732 |      0.07%
  33 | diuers          |   0.000729 |      0.07%
  34 | tooke           |   0.000720 |      0.07%
  35 | names           |   0.000698 |      0.07%
  36 | thinke          |   0.000687 |      0.07%
  37 | faire           |   0.000672 |      0.07%
  38 | iland           |   0.000663 |      0.07%
  39 | writeth         |   0.000662 |      0.07%
  40 | seene           |   0.000647 |      0.06%
  41 | ibid            |   0.000644 |      0.06%
  42 | townes          |   0.000635 |      0.06%
  43 | hence           |   0.000628 |      0.06%
  44 | sunne           |   0.000619 |      0.06%
  45 | learned         |   0.000614 |      0.06%
  46 | standeth        |   0.000612 |      0.06%
  47 | hauing          |   0.000602 |      0.06%
  48 | emperour        |   0.000582 |      0.06%
  49 | mountaines      |   0.000560 |      0.06%
  50 | warre           |   0.000548 |      0.05%

Excluded Words:
is, as, are, or, but, from, so, king, hee, great


######## Topic 15 ########
Average row value: 0.000010
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | vs              |   0.003583 |      0.36%
   2 | wee             |   0.001954 |      0.20%
   3 | vse             |   0.001416 |      0.14%
   4 | giue            |   0.001007 |      0.10%
   5 | al              |   0.000906 |      0.09%
   6 | neuer           |   0.000897 |      0.09%
   7 | goe             |   0.000887 |      0.09%
   8 | selues          |   0.000796 |      0.08%
   9 | meanes          |   0.000771 |      0.08%
  10 | dayes           |   0.000766 |      0.08%
  11 | captaine        |   0.000757 |      0.08%
  12 | gaue            |   0.000731 |      0.07%
  13 | euen            |   0.000703 |      0.07%
  14 | euer            |   0.000693 |      0.07%
  15 | aboue           |   0.000683 |      0.07%
  16 | returne         |   0.000625 |      0.06%
  17 | passe           |   0.000621 |      0.06%
  18 | although        |   0.000612 |      0.06%
  19 | leaue           |   0.000589 |      0.06%
  20 | halfe           |   0.000557 |      0.06%
  21 | vsed            |   0.000548 |      0.05%
  22 | spaine          |   0.000544 |      0.05%
  23 | speake          |   0.000537 |      0.05%
  24 | liue            |   0.000537 |      0.05%
  25 | countrie        |   0.000530 |      0.05%
  26 | giuen           |   0.000522 |      0.05%
  27 | feare           |   0.000495 |      0.05%
  28 | comming         |   0.000479 |      0.05%

Excluded Words:
as, is, haue, them, be, great, there, so, are, not


######## Topic 16 ########
Average row value: 0.000010
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | turks           |   0.003158 |      0.32%
   2 | grand           |   0.001650 |      0.17%
   3 | enemy           |   0.001371 |      0.14%
   4 | count           |   0.001336 |      0.13%
   5 | ap              |   0.001222 |      0.12%
   6 | vizier          |   0.001129 |      0.11%
   7 | fleet           |   0.001121 |      0.11%
   8 | forces          |   0.001018 |      0.10%
   9 | enemies         |   0.000863 |      0.09%
  10 | camp            |   0.000841 |      0.08%
  11 | troops          |   0.000811 |      0.08%
  12 | ed              |   0.000779 |      0.08%
  13 | admiral         |   0.000768 |      0.08%
  14 | received        |   0.000765 |      0.08%
  15 | arms            |   0.000748 |      0.07%
  16 | hungary         |   0.000727 |      0.07%
  17 | command         |   0.000722 |      0.07%
  18 | siege           |   0.000707 |      0.07%
  19 | pasha           |   0.000704 |      0.07%
  20 | cannon          |   0.000682 |      0.07%
  21 | forced          |   0.000652 |      0.07%
  22 | soldiers        |   0.000637 |      0.06%
  23 | turkish         |   0.000634 |      0.06%
  24 | fire            |   0.000621 |      0.06%
  25 | commanded       |   0.000606 |      0.06%
  26 | fight           |   0.000603 |      0.06%
  27 | wales           |   0.000572 |      0.06%
  28 | began           |   0.000568 |      0.06%
  29 | killed          |   0.000567 |      0.06%
  30 | garrison        |   0.000563 |      0.06%
  31 | force           |   0.000560 |      0.06%
  32 | signior         |   0.000556 |      0.06%
  33 | shot            |   0.000553 |      0.06%
  34 | resolved        |   0.000552 |      0.06%
  35 | mean            |   0.000523 |      0.05%
  36 | loss            |   0.000521 |      0.05%
  37 | imperial        |   0.000521 |      0.05%
  38 | lieutenant      |   0.000520 |      0.05%
  39 | orders          |   0.000519 |      0.05%
  40 | poland          |   0.000519 |      0.05%
  41 | design          |   0.000516 |      0.05%
  42 | wounded         |   0.000514 |      0.05%
  43 | sultan          |   0.000510 |      0.05%
  44 | vienna          |   0.000508 |      0.05%
  45 | returned        |   0.000504 |      0.05%
  46 | whilst          |   0.000496 |      0.05%

Excluded Words:
had, on, but, them, as, be, from, being, so, who


######## Topic 17 ########
Average row value: 0.000010
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | thought         |   0.001148 |      0.11%
   2 | heard           |   0.000970 |      0.10%
   3 | knew            |   0.000909 |      0.09%
   4 | hands           |   0.000820 |      0.08%
   5 | fell            |   0.000812 |      0.08%
   6 | young           |   0.000807 |      0.08%
   7 | seeing          |   0.000754 |      0.08%
   8 | honour          |   0.000700 |      0.07%
   9 | presently       |   0.000687 |      0.07%
  10 | lady            |   0.000677 |      0.07%
  11 | brother         |   0.000673 |      0.07%
  12 | got             |   0.000597 |      0.06%
  13 | heart           |   0.000581 |      0.06%
  14 | poor            |   0.000557 |      0.06%
  15 | words           |   0.000557 |      0.06%
  16 | fortune         |   0.000550 |      0.05%
  17 | desired         |   0.000543 |      0.05%
  18 | woman           |   0.000537 |      0.05%
  19 | fear            |   0.000536 |      0.05%
  20 | caused          |   0.000533 |      0.05%
  21 | eyes            |   0.000523 |      0.05%
  22 | letter          |   0.000500 |      0.05%
  23 | means           |   0.000496 |      0.05%

Excluded Words:
him, had, her, so, not, my, as, but, me, who


######## Topic 18 ########
Average row value: 0.000010
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | poore           |   0.001414 |      0.14%
   2 | mee             |   0.000913 |      0.09%
   3 | eight           |   0.000770 |      0.08%
   4 | queene          |   0.000720 |      0.07%
   5 | sixe            |   0.000632 |      0.06%
   6 | foote           |   0.000629 |      0.06%
   7 | 100             |   0.000620 |      0.06%
   8 | souldiers       |   0.000613 |      0.06%
   9 | gate            |   0.000594 |      0.06%
  10 | lordship        |   0.000580 |      0.06%
  11 | ten             |   0.000573 |      0.06%
  12 | armes           |   0.000564 |      0.06%
  13 | worke           |   0.000560 |      0.06%

Excluded Words:
as, is, or, but, be, from, not, so, them, are


######## Topic 19 ########
Average row value: 0.000010
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | park            |   0.001685 |      0.17%
   2 | ger             |   0.001592 |      0.16%
   3 | stones          |   0.001497 |      0.15%
   4 | hée             |   0.001258 |      0.13%
   5 | folio           |   0.001241 |      0.12%
   6 | ch              |   0.001231 |      0.12%
   7 | colour          |   0.001174 |      0.12%
   8 | sive            |   0.001124 |      0.11%
   9 | salt            |   0.001101 |      0.11%
  10 | white           |   0.001053 |      0.11%
  11 | flore           |   0.000985 |      0.10%
  12 | waters          |   0.000961 |      0.10%
  13 | wherefore       |   0.000809 |      0.08%
  14 | que             |   0.000792 |      0.08%
  15 | mount           |   0.000769 |      0.08%
  16 | round           |   0.000742 |      0.07%
  17 | wée             |   0.000716 |      0.07%
  18 | passed          |   0.000707 |      0.07%
  19 | chiefly         |   0.000699 |      0.07%
  20 | top             |   0.000653 |      0.07%
  21 | figure          |   0.000637 |      0.06%
  22 | bath            |   0.000636 |      0.06%
  23 | iron            |   0.000615 |      0.06%
  24 | grow            |   0.000612 |      0.06%
  25 | else            |   0.000607 |      0.06%
  26 | sorts           |   0.000597 |      0.06%
  27 | chapter         |   0.000573 |      0.06%
  28 | circa           |   0.000571 |      0.06%
  29 | wherein         |   0.000568 |      0.06%
  30 | strong          |   0.000549 |      0.05%
  31 | red             |   0.000549 |      0.05%
  32 | commonly        |   0.000537 |      0.05%
  33 | plants          |   0.000531 |      0.05%
  34 | distant         |   0.000515 |      0.05%
  35 | ac              |   0.000512 |      0.05%
  36 | heat            |   0.000512 |      0.05%
  37 | bée             |   0.000507 |      0.05%

Excluded Words:
is, or, are, as, we, be, there, them, but, great


